x0,x1,Start,Duration
-4.6972,-4.6092,908.2125,1.9367
-5.5065,-4.5704,908.2385,3.4669
-4.6972,-4.4869,908.6375,2.7995
-4.6972,-4.6092,908.6814,1.9367
-4.6355,-4.8033,908.6932,1.3632
-4.6972,-4.5637,908.7517,2.2315
-5.1069,-4.7455,908.8858,0.6075
-5.2554,-4.6630,908.9717,1.4205
-5.0061,-4.8388,908.9984,0.2079
-5.1069,-4.7455,909.1019,0.6075
-5.1069,-4.7455,909.2063,0.6075
-4.2818,-4.0982,909.2745,10.0870
-5.0930,-4.6092,909.4698,1.2830
-5.2554,-4.7455,909.4933,1.0346
-5.1069,-5.4422,909.7094,1.6417
-4.5234,-4.1918,909.8138,6.8005
-4.6972,-4.9612,909.9319,0.7429
-5.5452,-4.9637,910.0564,2.3600
-4.3919,-4.8388,910.1492,3.1168
-4.6634,-4.6092,910.2965,2.1060
-5.4496,-4.7455,910.3556,2.1126
-4.3391,-4.6092,910.3922,4.6068
-5.4084,-4.8373,910.5279,1.5341
-5.1069,-4.7536,910.6181,0.5756
-5.2554,-4.4143,910.6748,3.2136
-5.1069,-4.7455,910.7528,0.6075
-5.8273,-4.6092,910.9832,6.4784
-4.9922,-5.1101,911.1936,0.0974
-5.2395,-4.7455,911.2316,0.9723
-5.4599,-4.7455,911.2910,2.1858
-4.6562,-4.8551,911.3511,1.1074
-5.1069,-4.7536,911.3603,0.5756
-4.7463,-4.5518,911.4370,2.0994
-4.3984,-4.7930,911.7054,3.1868
-5.7507,-5.4750,911.9359,6.1177
-5.7564,-5.4396,912.0620,5.9389
-5.1069,-4.7455,912.2039,0.6075
-5.2395,-4.7455,912.2187,0.9723
-5.0061,-4.8388,912.4025,0.2079
-5.1069,-4.7455,912.4164,0.6075
-4.0348,-5.0590,912.4585,7.2072
-5.1069,-4.7536,912.4682,0.5756
-5.1069,-4.7455,912.6104,0.6075
-5.2395,-4.3652,912.8114,3.6163
-4.8052,-4.7455,913.0239,0.8182
-5.4155,-5.4249,913.0438,2.7858
-5.1069,-4.5012,913.1910,2.0602
-5.1069,-4.0861,913.2179,6.5487
-5.1993,-4.7455,913.2660,0.8323
-5.2395,-4.7455,913.3786,0.9723
-5.2574,-4.6034,913.4768,1.7723
-5.1069,-3.9267,913.5139,8.8868
-4.6717,-4.8202,913.5184,1.1148
-4.9038,-4.7455,913.5364,0.5903
-5.0061,-4.8388,913.8421,0.2079
-5.2395,-4.7455,913.8884,0.9723
-5.6322,-4.7455,913.9506,3.6471
-5.7415,-4.9068,914.0500,4.3699
-5.1069,-5.0372,914.0984,0.1024
-4.7161,-4.8388,914.1267,0.8491
-5.0061,-4.8388,914.2007,0.2079
-5.1069,-4.6142,914.3509,1.2738
-4.9922,-4.9233,914.4086,0.0476
-5.1069,-4.7455,914.4562,0.6075
-5.0061,-4.6653,914.6332,0.8924
-5.1663,-4.7455,914.8607,0.7364
-5.0061,-4.8388,914.8923,0.2079
-5.1069,-4.7455,914.9758,0.6075
-5.0318,-4.9233,914.9990,0.0552
-5.0115,-4.8388,915.0541,0.2086
-5.0061,-4.8388,915.0637,0.2079
-4.9922,-5.1721,915.0867,0.2372
-5.1069,-4.7455,915.1001,0.6075
-4.5015,-4.8007,915.2491,2.2793
-5.0061,-4.8308,915.2511,0.2292
-4.2203,-4.7455,915.2628,5.2393
-4.9922,-5.1101,915.2716,0.0974
-4.8174,-5.0096,915.3239,0.2671
-4.9941,-4.8572,915.3690,0.1633
-5.1069,-5.2601,915.4803,0.6304
-6.2288,-4.7285,915.5256,11.8992
-4.6785,-5.0372,915.5323,0.8342
-5.3087,-4.8388,915.5833,0.9656
-5.3641,-4.8388,915.5909,1.2603
-4.2690,-4.0974,915.5971,10.2313
