x0,x1,Duration
-0.8684,-0.9543,15.9963
-0.7955,0.6242,15.1432
-1.0577,1.7028,14.8964
0.3008,2.1598,14.1298
0.6536,-1.6848,15.4210
0.3238,-0.3219,15.0894
-1.5181,-0.1228,15.8071
-0.1761,-1.1776,15.6690
-0.1355,2.4497,14.3060
1.0532,0.5069,14.4987
0.8274,1.0475,14.3414
2.0203,-1.8763,15.0214
-0.2405,1.2180,14.7572
0.1033,1.0994,14.6604
-0.6606,1.9466,14.7046
0.6330,-2.0981,15.5655
-1.0324,0.1801,15.4128
0.0141,-2.2553,16.0783
0.5507,-1.1933,15.3047
0.6429,0.0899,14.8295
-0.1815,-1.5213,15.8503
1.5345,0.4252,14.3296
-0.7659,0.8130,15.0673
4.2627,-0.9232,14.4258
-1.6066,-0.8088,16.4441
0.1046,-0.1972,15.1253
-0.1866,0.6219,14.9367
-0.1571,-0.1201,15.1956
-0.3240,-0.1416,15.2698
-1.4760,-0.7452,16.2802
0.3704,-0.4534,15.1189
-0.6149,0.3526,15.1829
0.8658,1.1077,14.2901
1.9496,1.4622,13.2659
-0.6397,0.2084,15.2491
0.7678,-1.0065,15.1594
-0.9034,1.6829,14.8548
-0.2104,0.3358,15.0454
1.6133,-0.1229,14.5782
2.1397,0.8550,13.7017
1.8885,-0.4006,14.6150
0.3847,2.6828,13.8291
0.7829,1.1975,14.2896
-1.0389,0.6215,15.2245
0.7127,-2.4669,15.6331
-0.4608,-0.7053,15.5917
-0.0619,-0.7942,15.4302
-0.7994,3.1821,14.4965
0.0916,-1.6371,15.7200
-0.1347,1.8180,14.5150
2.0444,0.5028,14.0393
0.3739,0.6872,14.7043
0.1511,1.7151,14.4057
0.6848,-1.3202,15.2904
1.4732,0.8949,14.0724
-1.3136,1.9298,14.9146
-2.0764,-1.2089,17.3894
1.3972,1.1969,13.9132
-1.2149,0.6112,15.2866
0.4072,-1.0068,15.3007
0.1445,-0.5758,15.2510
-1.6405,-1.0936,16.7787
1.1443,-0.9036,15.0039
0.1492,0.0899,15.0051
-0.6280,-0.2535,15.4489
1.1748,0.6638,14.3653
2.7084,0.0531,14.0893
-0.8761,-0.5316,15.7243
-0.6761,0.1801,15.2744
0.6256,1.2735,14.3389
1.8030,0.2825,14.2955
0.7514,2.7726,13.4218
0.2049,2.1280,14.2080
-0.4728,-0.6932,15.5919
-1.1101,1.5056,14.9614
1.6721,0.8300,14.0023
-0.5273,-2.2280,16.6238
1.1206,0.8811,14.2750
0.6086,0.0504,14.8562
-0.7271,2.4261,14.6154
-1.1442,1.6726,14.9283
1.0804,1.0412,14.2070
0.6986,-0.9117,15.1542
-0.5293,-0.2624,15.4088
-0.0851,-0.0243,15.1320
0.5989,0.0116,14.8737
-1.2088,-1.0233,16.3154
-0.0554,-2.7334,16.3957
-1.3707,-1.5775,17.0366
-0.3028,0.0246,15.1952
-3.2307,-0.6329,17.5358
0.5025,-0.3637,15.0400
-0.1108,-0.3252,15.2578
0.9596,0.6307,14.4811
-0.6748,1.7962,14.7489
-1.0405,-1.2212,16.3411
2.4749,0.2562,14.0266
-0.7052,0.3135,15.2307
-0.3537,0.3496,15.0913
0.9373,-0.8614,15.0562
1.2335,0.2201,14.5590
0.2650,1.9777,14.2321
-0.0053,-0.9489,15.4690
-0.7380,-0.0357,15.3940
0.0126,0.7566,14.8181
-0.5095,-1.9623,16.4103
-1.0440,0.6611,15.2110
0.5187,1.2457,14.4084
0.9641,-0.4207,14.9039
3.5742,-1.2910,14.6556
-0.1721,-0.5088,15.3591
0.8812,-1.7075,15.3256
0.9830,2.1768,13.5603
-0.8658,-1.3480,16.2895
0.0244,1.2545,14.6378
0.3478,-0.1996,15.0373
1.0018,0.7285,14.4142
0.5028,1.4564,14.3212
0.0099,-1.2817,15.6083
2.3318,-1.3333,14.8408
